country,age_bin,_item,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
uk,50+,J distinguish fact/opinion,1.4792899408284024,6.21301775147929,32.24852071005917,52.95857988165681,7.100591715976331
uk,50+,K determine trustworthy,1.4792899408284024,9.763313609467456,35.20710059171598,51.183431952662716,2.366863905325444
uk,50+,L overwhelmed,5.325443786982249,25.14792899408284,33.72781065088758,28.994082840236686,6.804733727810651
uk,50+,M too stressful,6.21301775147929,22.485207100591715,33.43195266272189,28.698224852071007,9.171597633136095
uk,50+,N excited new ways,6.508875739644971,18.04733727810651,56.213017751479285,15.976331360946746,3.2544378698224854
uk,50+,O excited traditional ways,1.7751479289940828,8.284023668639055,41.42011834319527,36.98224852071006,11.538461538461538
uk,50+,P hopeful view,20.118343195266274,47.0414201183432,22.189349112426036,8.875739644970414,1.7751479289940828
us,18-29,A impact my life,2.185792349726776,9.01639344262295,43.44262295081967,37.97814207650273,7.377049180327869
us,18-29,B issues I care about,1.912568306010929,4.371584699453552,28.142076502732237,49.72677595628415,15.846994535519126
us,18-29,C profit over truth,1.639344262295082,5.737704918032787,32.78688524590164,38.79781420765027,21.03825136612022
us,18-29,D written to manipulate,2.73224043715847,11.202185792349727,44.53551912568306,26.50273224043716,15.027322404371585
us,18-29,E interested in politics,8.469945355191257,11.475409836065573,29.508196721311474,30.87431693989071,19.672131147540984
us,18-29,F mainstream accurate,9.836065573770492,19.398907103825135,42.89617486338798,24.316939890710383,3.551912568306011
us,18-29,G biased against my views,2.185792349726776,15.846994535519126,48.90710382513661,22.131147540983605,10.92896174863388
us,18-29,H trust mainstream,14.207650273224044,20.21857923497268,35.51912568306011,26.50273224043716,3.551912568306011
us,18-29,I confident fact-check,1.366120218579235,7.377049180327869,31.693989071038253,44.80874316939891,14.754098360655737
us,18-29,J distinguish fact/opinion,1.912568306010929,4.098360655737705,36.0655737704918,42.89617486338798,15.027322404371585
us,18-29,K determine trustworthy,1.092896174863388,7.103825136612022,33.87978142076503,47.81420765027322,10.10928961748634
us,18-29,L overwhelmed,2.459016393442623,12.568306010928962,29.78142076502732,37.15846994535519,18.0327868852459
us,18-29,M too stressful,3.0054644808743167,15.300546448087433,33.87978142076503,35.24590163934426,12.568306010928962
us,18-29,N excited new ways,3.551912568306011,7.650273224043716,44.26229508196721,36.33879781420765,8.19672131147541
us,18-29,O excited traditional ways,4.644808743169399,13.934426229508196,45.62841530054645,27.322404371584703,8.469945355191257
us,18-29,P hopeful view,19.12568306010929,26.229508196721312,29.78142076502732,20.21857923497268,4.644808743169399
us,30-49,A impact my life,3.6666666666666665,10.666666666666668,44.0,31.333333333333336,10.333333333333334
us,30-49,B issues I care about,1.3333333333333335,7.000000000000001,28.999999999999996,45.33333333333333,17.333333333333336
us,30-49,C profit over truth,1.6666666666666667,6.0,33.0,31.0,28.333333333333332
